_id,sessionID,siteID,stationID,spaceID,clusterID,userID,timezone,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,userInput_WhPerMile,userInput_kWhRequested,userInput_milesRequested,userInput_minutesAvailable,userInput_requestedDeparture,userInput_paymentRequired
5b3bf984b,JP-000013,jpl,JP-010,JP-CA-010,jpl-1,7347,America/Los_Angeles,2018-06-26 09:16:49.931514,2018-06-26 21:30:12.313420,2018-06-26 10:52:01.661703,10.472,250.0,12.76,51.0,733,2018-06-26 21:30:12.313420,False
5b334e951,CA-000014,caltech,CA-015,CA-CA-015,caltech-1,6368,America/Los_Angeles,2018-05-16 09:16:55.197749,2018-05-16 10:49:10.396791,2018-05-16 10:32:14.942386,8.286,250.0,12.46,49.8,92,2018-05-16 10:49:10.396791,False
5b5674705,CA-000015,caltech,CA-001,CA-CA-001,caltech-0,5342,America/Los_Angeles,2018-06-14 09:32:40.137391,2018-06-14 13:30:36.140933,2018-06-14 10:57:49.474910,9.367,290.0,9.7,33.5,237,2018-06-14 13:30:36.140933,False
5b3878207,CA-000017,caltech,CA-030,CA-CA-030,caltech-3,3967,America/Los_Angeles,2018-05-22 13:32:11.774210,2018-05-22 23:29:01.463282,2018-05-22 14:12:18.605928,4.413,250.0,5.46,21.9,596,2018-05-22 23:29:01.463282,False
5b232eca8,JP-000018,jpl,JP-003,JP-CA-003,jpl-0,4480,America/Los_Angeles,2018-07-26 13:45:48.811652,2018-07-26 18:34:20.739726,2018-07-26 14:41:11.968408,6.092,320.0,7.31,22.9,288,2018-07-26 18:34:20.739726,False
5b559bae8,JP-000019,jpl,JP-021,JP-CA-021,jpl-2,1755,America/Los_Angeles,2018-05-09 13:04:20.384457,2018-05-09 19:35:10.941788,2018-05-09 14:44:36.600748,11.03,320.0,11.83,37.0,390,2018-05-09 19:35:10.941788,False
5bd6172b,CA-000020,caltech,CA-048,CA-CA-048,caltech-4,2571,America/Los_Angeles,2018-05-01 11:02:57.674612,2018-05-02 01:02:57.674612,2018-05-01 12:13:59.064518,7.813,350.0,8.49,24.3,840,2018-05-02 01:02:57.674612,True
5b22fd128,JP-000021,jpl,JP-007,JP-CA-007,jpl-0,5050,America/Los_Angeles,2018-05-29 09:05:12.766122,2018-05-29 15:49:23.938927,2018-05-29 10:38:56.780349,10.311,400.0,11.02,27.6,404,2018-05-29 15:49:23.938927,False
5b352bb3c,CA-000022,caltech,CA-027,CA-CA-027,caltech-2,6302,America/Los_Angeles,2018-06-07 14:47:53.948135,2018-06-07 16:34:56.559475,2018-06-07 15:50:43.547475,6.911,250.0,8.03,32.1,107,2018-06-07 16:34:56.559475,False
5b17c8376,CA-000023,caltech,CA-053,CA-CA-053,caltech-5,5768,America/Los_Angeles,2018-07-26 09:29:00.287293,2018-07-26 15:32:38.834915,2018-07-26 10:57:33.172067,9.74,250.0,11.02,44.1,363,2018-07-26 15:32:38.834915,False
5b4b35b8d,JP-000024,jpl,JP-029,JP-CA-029,jpl-2,5848,America/Los_Angeles,2018-06-08 13:45:39.591628,2018-06-09 01:01:08.938224,2018-06-08 14:41:58.226788,6.194,290.0,7.32,25.2,675,2018-06-09 01:01:08.938224,False
5b1292a53,CA-000026,caltech,CA-052,CA-CA-052,caltech-5,8053,America/Los_Angeles,2018-06-07 08:59:58.791140,2018-06-07 22:59:58.791140,2018-06-07 09:50:12.754717,5.526,320.0,5.74,17.9,840,2018-06-07 22:59:58.791140,False
5bb5a159,CA-000027,caltech,CA-030,CA-CA-030,caltech-3,6672,America/Los_Angeles,2018-05-06 08:55:48.699730,2018-05-06 16:05:52.410329,2018-05-06 10:08:42.278317,8.018,400.0,9.74,24.4,430,2018-05-06 16:05:52.410329,True
5b1d1cb4c,JP-000029,jpl,JP-013,JP-CA-013,jpl-1,2995,America/Los_Angeles,2018-07-12 08:44:30.495176,2018-07-12 14:06:55.630779,2018-07-12 10:19:23.099136,10.436,400.0,12.48,31.2,322,2018-07-12 14:06:55.630779,False
5b3f6c443,JP-000032,jpl,JP-043,JP-CA-043,jpl-4,6139,America/Los_Angeles,2018-05-10 08:48:42.878983,2018-05-10 18:27:02.361224,2018-05-10 09:38:25.275849,5.468,320.0,5.69,17.8,578,2018-05-10 18:27:02.361224,False
5b1d7f95e,JP-000034,jpl,JP-033,JP-CA-033,jpl-3,3705,America/Los_Angeles,2018-06-18 08:43:22.072953,2018-06-18 15:16:48.527381,2018-06-18 09:15:24.647099,3.525,350.0,3.99,11.4,393,2018-06-18 15:16:48.527381,True
5b1ae7b74,JP-000036,jpl,JP-036,JP-CA-036,jpl-3,7435,America/Los_Angeles,2018-05-22 14:09:54.629517,2018-05-23 04:09:54.629517,2018-05-22 16:07:35.764576,12.945,320.0,13.35,41.7,840,2018-05-23 04:09:54.629517,False
5b3ee9955,JP-000037,jpl,JP-006,JP-CA-006,jpl-0,6805,America/Los_Angeles,2018-05-07 10:17:27.835305,2018-05-07 19:09:04.160326,2018-05-07 11:48:54.510049,10.059,350.0,10.9,31.1,531,2018-05-07 19:09:04.160326,True
5b477e833,JP-000038,jpl,JP-014,JP-CA-014,jpl-1,5720,America/Los_Angeles,2018-07-05 11:35:35.223648,2018-07-06 00:49:31.850636,2018-07-05 12:39:47.249438,7.062,250.0,7.14,28.6,793,2018-07-06 00:49:31.850636,True
5b1dc48cd,CA-000039,caltech,CA-027,CA-CA-027,caltech-2,5796,America/Los_Angeles,2018-05-16 09:08:10.695430,2018-05-16 09:41:22.683100,2018-05-16 09:40:02.702690,3.505,320.0,10.91,34.1,33,2018-05-16 09:41:22.683100,False
5b4fab93d,CA-000040,caltech,CA-049,CA-CA-049,caltech-4,7100,America/Los_Angeles,2018-07-10 08:49:18.692186,2018-07-10 18:01:16.629699,2018-07-10 10:58:34.202754,14.218,350.0,16.4,46.9,551,2018-07-10 18:01:16.629699,True
5b32ae6dc,CA-000042,caltech,CA-034,CA-CA-034,caltech-3,2119,America/Los_Angeles,2018-05-29 11:00:16.394231,2018-05-30 00:02:06.179648,2018-05-29 11:58:15.211577,6.378,290.0,6.67,23.0,781,2018-05-30 00:02:06.179648,False
5b3087fa8,JP-000043,jpl,JP-006,JP-CA-006,jpl-0,6780,America/Los_Angeles,2018-06-03 11:43:37.506277,2018-06-03 12:33:07.047833,2018-06-03 12:23:20.446190,4.369,350.0,8.15,23.3,49,2018-06-03 12:33:07.047833,True
5bb9803c,CA-000045,caltech,CA-054,CA-CA-054,caltech-5,6325,America/Los_Angeles,2018-06-16 06:40:31.990391,2018-06-16 12:15:16.620140,2018-06-16 08:21:19.460055,11.087,350.0,13.5,38.6,334,2018-06-16 12:15:16.620140,False
5bdf877c,CA-000047,caltech,CA-009,CA-CA-009,caltech-0,7559,America/Los_Angeles,2018-07-20 09:18:59.233343,2018-07-20 13:20:54.092190,2018-07-20 10:24:57.736043,7.257,250.0,9.06,36.2,241,2018-07-20 13:20:54.092190,False
5b1adb185,CA-000048,caltech,CA-025,CA-CA-025,caltech-2,1909,America/Los_Angeles,2018-06-24 10:05:27.758243,2018-06-24 16:14:17.114650,2018-06-24 12:45:19.819447,17.585,400.0,21.76,54.4,368,2018-06-24 16:14:17.114650,False
5b9e9a0e,JP-000050,jpl,JP-034,JP-CA-034,jpl-3,1338,America/Los_Angeles,2018-06-10 08:03:22.253915,2018-06-10 17:01:39.041292,2018-06-10 08:39:30.793424,3.976,250.0,4.9,19.6,538,2018-06-10 17:01:39.041292,False
5b2fdd13c,JP-000051,jpl,JP-031,JP-CA-031,jpl-3,2161,America/Los_Angeles,2018-06-07 07:52:45.755056,2018-06-07 10:09:50.557492,2018-06-07 09:44:36.473586,12.303,400.0,13.27,33.2,137,2018-06-07 10:09:50.557492,False
5b14a3454,CA-000052,caltech,CA-026,CA-CA-026,caltech-2,1953,America/Los_Angeles,2018-06-07 12:26:14.613677,2018-06-07 23:08:46.333594,2018-06-07 13:44:21.749373,8.593,400.0,9.76,24.4,642,2018-06-07 23:08:46.333594,True
5b3d2b920,CA-000053,caltech,CA-032,CA-CA-032,caltech-3,3536,America/Los_Angeles,2018-05-09 08:57:58.958676,2018-05-09 14:14:37.034886,2018-05-09 09:48:49.583562,5.593,400.0,6.63,16.6,316,2018-05-09 14:14:37.034886,True
5b1eacedf,CA-000054,caltech,CA-018,CA-CA-018,caltech-1,7299,America/Los_Angeles,2018-06-12 07:42:30.119179,2018-06-12 14:29:20.180145,2018-06-12 08:58:21.435506,8.344,350.0,8.97,25.6,406,2018-06-12 14:29:20.180145,False
5b5168ebc,CA-000056,caltech,CA-029,CA-CA-029,caltech-2,4071,America/Los_Angeles,2018-06-26 12:55:04.839811,2018-06-26 18:04:54.789552,2018-06-26 13:48:39.369242,5.893,400.0,6.83,17.1,309,2018-06-26 18:04:54.789552,True
5bacc06f,CA-000057,caltech,CA-049,CA-CA-049,caltech-4,4493,America/Los_Angeles,2018-06-14 13:28:22.928745,2018-06-14 20:43:40.965238,2018-06-14 15:59:38.462818,16.638,290.0,17.54,60.5,435,2018-06-14 20:43:40.965238,False
5ba751f0,JP-000060,jpl,JP-019,JP-CA-019,jpl-1,6399,America/Los_Angeles,2018-05-11 13:58:24.283430,2018-05-11 21:16:45.445004,2018-05-11 15:13:32.061201,8.264,290.0,8.9,30.7,438,2018-05-11 21:16:45.445004,False
5b1678177,JP-000063,jpl,JP-050,JP-CA-050,jpl-5,3450,America/Los_Angeles,2018-07-29 10:40:39.132713,2018-07-29 23:31:50.395790,2018-07-29 12:18:51.689306,10.803,290.0,12.09,41.7,771,2018-07-29 23:31:50.395790,False
5b51f148a,CA-000064,caltech,CA-046,CA-CA-046,caltech-4,7832,America/Los_Angeles,2018-05-17 09:11:04.384774,2018-05-17 20:05:28.357308,2018-05-17 10:03:33.882439,5.774,320.0,6.8,21.3,654,2018-05-17 20:05:28.357308,False
5b4b82323,JP-000065,jpl,JP-029,JP-CA-029,jpl-2,6513,America/Los_Angeles,2018-06-27 13:45:50.834866,2018-06-27 22:14:10.126046,2018-06-27 15:31:27.763776,11.618,290.0,12.96,44.7,508,2018-06-27 22:14:10.126046,False
5b18c5b28,JP-000066,jpl,JP-022,JP-CA-022,jpl-2,1068,America/Los_Angeles,2018-07-16 07:32:52.239825,2018-07-16 10:14:12.084768,2018-07-16 09:18:58.582817,11.672,290.0,12.6,43.5,161,2018-07-16 10:14:12.084768,True
5b3fef02f,CA-000067,caltech,CA-029,CA-CA-029,caltech-2,6707,America/Los_Angeles,2018-05-31 14:13:23.549133,2018-05-31 15:47:52.322000,2018-05-31 15:42:15.634833,9.775,290.0,12.11,41.8,94,2018-05-31 15:47:52.322000,False
5b2f4f52e,CA-000068,caltech,CA-044,CA-CA-044,caltech-4,6197,America/Los_Angeles,2018-07-28 07:34:53.418031,2018-07-28 11:55:47.534295,2018-07-28 09:48:32.144991,14.701,400.0,15.53,38.8,260,2018-07-28 11:55:47.534295,False
5b5e20577,JP-000069,jpl,JP-048,JP-CA-048,jpl-4,7878,America/Los_Angeles,2018-06-19 13:57:52.366089,2018-06-19 15:13:36.149812,2018-06-19 15:05:40.679334,7.459,350.0,8.31,23.7,75,2018-06-19 15:13:36.149812,False
5b2986aaa,CA-000070,caltech,CA-003,CA-CA-003,caltech-0,8625,America/Los_Angeles,2018-06-11 15:37:13.621958,2018-06-11 18:56:53.677286,2018-06-11 17:34:19.009923,12.88,320.0,15.95,49.9,199,2018-06-11 18:56:53.677286,True
5b5330b2d,JP-000071,jpl,JP-013,JP-CA-013,jpl-1,4550,America/Los_Angeles,2018-05-05 11:33:31.736678,2018-05-05 20:03:58.262872,2018-05-05 12:36:23.506867,6.915,350.0,7.48,21.4,510,2018-05-05 20:03:58.262872,False
5b52c7a7c,JP-000072,jpl,JP-043,JP-CA-043,jpl-4,8220,America/Los_Angeles,2018-05-01 08:23:47.528705,2018-05-01 20:38:30.371537,2018-05-01 08:45:46.853779,2.419,400.0,2.78,7.0,734,2018-05-01 20:38:30.371537,False
5b3762818,JP-000074,jpl,JP-023,JP-CA-023,jpl-2,2094,America/Los_Angeles,2018-07-17 09:03:37.049206,2018-07-17 10:33:35.499306,2018-07-17 10:20:55.788441,8.504,350.0,32.43,92.6,89,2018-07-17 10:33:35.499306,False
5b27a6ea7,JP-000075,jpl,JP-004,JP-CA-004,jpl-0,2615,America/Los_Angeles,2018-07-17 09:10:50.987184,2018-07-17 13:13:22.289903,2018-07-17 10:26:28.305553,8.318,250.0,9.53,38.1,242,2018-07-17 13:13:22.289903,True
5b2ab1ee9,CA-000076,caltech,CA-049,CA-CA-049,caltech-4,2880,America/Los_Angeles,2018-07-26 08:34:37.784851,2018-07-26 09:46:58.717244,2018-07-26 09:24:21.314308,5.47,290.0,6.38,22.0,72,2018-07-26 09:46:58.717244,True
5b2752427,JP-000077,jpl,JP-009,JP-CA-009,jpl-0,7994,America/Los_Angeles,2018-05-28 14:50:35.964770,2018-05-28 21:18:01.261346,2018-05-28 15:30:32.446788,4.394,250.0,5.08,20.3,387,2018-05-28 21:18:01.261346,True
5b2074498,CA-000078,caltech,CA-049,CA-CA-049,caltech-4,7300,America/Los_Angeles,2018-05-23 15:10:48.864868,2018-05-23 23:14:41.895688,2018-05-23 16:19:43.336875,7.58,350.0,7.87,22.5,483,2018-05-23 23:14:41.895688,True
5b22bdb01,CA-000079,caltech,CA-006,CA-CA-006,caltech-0,1328,America/Los_Angeles,2018-05-29 11:45:55.792076,2018-05-29 18:24:01.209374,2018-05-29 14:25:33.287059,17.559,350.0,17.7,50.6,398,2018-05-29 18:24:01.209374,True
5b226d524,CA-000082,caltech,CA-001,CA-CA-001,caltech-0,1896,America/Los_Angeles,2018-06-27 07:36:35.203088,2018-06-27 10:14:51.519581,2018-06-27 08:51:07.730971,8.2,250.0,9.28,37.1,158,2018-06-27 10:14:51.519581,False
5b3cd146c,CA-000083,caltech,CA-018,CA-CA-018,caltech-1,2939,America/Los_Angeles,2018-05-10 07:04:48.627326,2018-05-10 15:26:44.910306,2018-05-10 07:51:06.049172,5.092,290.0,5.98,20.6,501,2018-05-10 15:26:44.910306,True
5b24eb08c,JP-000084,jpl,JP-003,JP-CA-003,jpl-0,2105,America/Los_Angeles,2018-05-31 09:21:38.576272,2018-05-31 11:29:59.224178,2018-05-31 11:02:52.115821,11.135,350.0,13.41,38.3,128,2018-05-31 11:29:59.224178,False
5b33ef919,CA-000085,caltech,CA-046,CA-CA-046,caltech-4,1037,America/Los_Angeles,2018-07-23 06:42:05.306902,2018-07-23 07:17:30.285048,2018-07-23 07:14:36.119877,3.576,350.0,20.15,57.6,35,2018-07-23 07:17:30.285048,False
5b105b099,CA-000086,caltech,CA-054,CA-CA-054,caltech-5,3892,America/Los_Angeles,2018-06-11 10:47:06.405477,2018-06-11 16:12:04.901809,2018-06-11 11:37:19.414964,5.524,400.0,6.0,15.0,324,2018-06-11 16:12:04.901809,False
5b2a704a0,CA-000087,caltech,CA-019,CA-CA-019,caltech-1,1152,America/Los_Angeles,2018-06-19 10:27:28.674457,2018-06-19 18:34:23.517692,2018-06-19 12:16:32.030007,11.996,350.0,14.88,42.5,486,2018-06-19 18:34:23.517692,True
5beb4c68,JP-000088,jpl,JP-038,JP-CA-038,jpl-3,2383,America/Los_Angeles,2018-07-16 16:17:25.027154,2018-07-16 22:40:30.366329,2018-07-16 17:36:56.471922,8.748,350.0,10.56,30.2,383,2018-07-16 22:40:30.366329,False
5b17bbca6,JP-000089,jpl,JP-029,JP-CA-029,jpl-2,5974,America/Los_Angeles,2018-05-24 10:16:38.342220,2018-05-24 19:44:01.972216,2018-05-24 12:03:19.522881,11.735,320.0,12.02,37.6,567,2018-05-24 19:44:01.972216,True
5b2b8a3c8,JP-000091,jpl,JP-029,JP-CA-029,jpl-2,7013,America/Los_Angeles,2018-06-23 09:32:42.977488,2018-06-23 19:44:14.109068,2018-06-23 10:27:15.484922,6.0,290.0,6.59,22.7,611,2018-06-23 19:44:14.109068,False
5b119c6ac,CA-000092,caltech,CA-051,CA-CA-051,caltech-5,7177,America/Los_Angeles,2018-06-30 12:48:52.675752,2018-06-30 17:28:02.897723,2018-06-30 14:25:27.268826,10.623,320.0,12.05,37.7,279,2018-06-30 17:28:02.897723,True
5b31dc2df,JP-000093,jpl,JP-019,JP-CA-019,jpl-1,8039,America/Los_Angeles,2018-07-20 07:17:47.861156,2018-07-20 20:02:04.763830,2018-07-20 08:53:27.539051,10.523,250.0,12.49,50.0,764,2018-07-20 20:02:04.763830,False
5b53d4558,CA-000094,caltech,CA-038,CA-CA-038,caltech-3,7889,America/Los_Angeles,2018-07-06 10:17:08.191723,2018-07-06 17:16:43.887558,2018-07-06 11:07:24.979501,5.531,350.0,5.64,16.1,419,2018-07-06 17:16:43.887558,True
5b24ed983,CA-000095,caltech,CA-034,CA-CA-034,caltech-3,3784,America/Los_Angeles,2018-07-11 12:03:39.361338,2018-07-11 17:34:06.032795,2018-07-11 13:23:14.845396,8.755,400.0,9.96,24.9,330,2018-07-11 17:34:06.032795,False
5b5b7f0f7,JP-000097,jpl,JP-019,JP-CA-019,jpl-1,6818,America/Los_Angeles,2018-06-15 08:48:03.098928,2018-06-15 15:17:02.913438,2018-06-15 10:35:31.417696,11.822,250.0,12.62,50.5,388,2018-06-15 15:17:02.913438,True
5bd69fac,JP-000098,jpl,JP-007,JP-CA-007,jpl-0,1068,America/Los_Angeles,2018-05-22 11:32:27.431177,2018-05-22 13:17:48.752844,2018-05-22 12:31:19.497882,6.475,290.0,7.6,26.2,105,2018-05-22 13:17:48.752844,False
5b5e0afe6,JP-000099,jpl,JP-006,JP-CA-006,jpl-0,5911,America/Los_Angeles,2018-06-13 06:22:43.977896,2018-06-13 10:58:04.412430,2018-06-13 07:54:45.238221,10.122,290.0,10.33,35.6,275,2018-06-13 10:58:04.412430,False
5b12b12ce,CA-000101,caltech,CA-009,CA-CA-009,caltech-0,7815,America/Los_Angeles,2018-05-21 06:58:32.188264,2018-05-21 09:47:52.695380,2018-05-21 08:03:18.642454,7.125,320.0,8.38,26.2,169,2018-05-21 09:47:52.695380,False
5b1d87096,JP-000102,jpl,JP-007,JP-CA-007,jpl-0,8168,America/Los_Angeles,2018-07-06 09:00:43.179153,2018-07-06 14:46:40.192800,2018-07-06 12:46:23.269433,24.823,320.0,25.12,78.5,345,2018-07-06 14:46:40.192800,True
5b49a8a32,CA-000103,caltech,CA-048,CA-CA-048,caltech-4,3714,America/Los_Angeles,2018-05-17 09:34:12.251868,2018-05-17 17:17:56.489225,2018-05-17 12:13:24.274885,17.512,320.0,18.05,56.4,463,2018-05-17 17:17:56.489225,False
5b2b4adfb,CA-000104,caltech,CA-029,CA-CA-029,caltech-2,5292,America/Los_Angeles,2018-05-30 07:34:46.659185,2018-05-30 13:24:39.703105,2018-05-30 08:52:54.759999,8.595,320.0,9.57,29.9,349,2018-05-30 13:24:39.703105,True
5b2a29f30,CA-000105,caltech,CA-002,CA-CA-002,caltech-0,1951,America/Los_Angeles,2018-06-02 10:13:43.680231,2018-06-02 16:50:40.136013,2018-06-02 10:56:47.112432,4.736,400.0,5.57,13.9,396,2018-06-02 16:50:40.136013,False
5be70023,CA-000108,caltech,CA-019,CA-CA-019,caltech-1,7355,America/Los_Angeles,2018-07-15 09:47:30.169813,2018-07-15 17:02:12.109717,2018-07-15 10:28:14.652887,4.482,400.0,5.53,13.8,434,2018-07-15 17:02:12.109717,False
5b54e8443,JP-000109,jpl,JP-016,JP-CA-016,jpl-1,1496,America/Los_Angeles,2018-06-27 09:13:38.867380,2018-06-27 11:39:27.278999,2018-06-27 10:46:59.900749,10.269,290.0,10.28,35.5,145,2018-06-27 11:39:27.278999,True
5b5b14c5a,CA-000111,caltech,CA-034,CA-CA-034,caltech-3,5204,America/Los_Angeles,2018-05-14 10:48:02.279149,2018-05-14 21:27:03.137366,2018-05-14 11:27:09.364214,4.303,350.0,4.81,13.7,639,2018-05-14 21:27:03.137366,True
5b422f43e,JP-000112,jpl,JP-041,JP-CA-041,jpl-4,2378,America/Los_Angeles,2018-05-31 14:58:25.293351,2018-05-31 21:40:54.380759,2018-05-31 16:58:52.351752,13.25,320.0,14.62,45.7,402,2018-05-31 21:40:54.380759,False
5b41134ad,CA-000113,caltech,CA-011,CA-CA-011,caltech-1,4221,America/Los_Angeles,2018-05-28 13:14:30.905281,2018-05-28 22:01:16.504329,2018-05-28 14:45:03.017905,9.959,320.0,11.27,35.2,526,2018-05-28 22:01:16.504329,True
5b1a83d06,CA-000114,caltech,CA-044,CA-CA-044,caltech-4,2299,America/Los_Angeles,2018-05-31 08:59:27.231508,2018-05-31 13:04:53.100468,2018-05-31 10:41:02.784233,11.175,350.0,12.91,36.9,245,2018-05-31 13:04:53.100468,False
5b1aeb5c8,CA-000115,caltech,CA-041,CA-CA-041,caltech-4,8684,America/Los_Angeles,2018-07-10 13:34:53.212684,2018-07-10 17:47:29.619555,2018-07-10 15:27:44.547628,12.414,290.0,12.64,43.6,252,2018-07-10 17:47:29.619555,False
5bb87c72,JP-000116,jpl,JP-030,JP-CA-030,jpl-3,5313,America/Los_Angeles,2018-06-18 08:38:22.797310,2018-06-18 18:56:41.516547,2018-06-18 10:18:14.704564,10.985,350.0,11.72,33.5,618,2018-06-18 18:56:41.516547,False
5b4efc798,CA-000117,caltech,CA-044,CA-CA-044,caltech-4,2953,America/Los_Angeles,2018-06-06 10:01:10.487411,2018-06-06 12:33:21.336166,2018-06-06 12:10:51.373547,14.265,400.0,15.4,38.5,152,2018-06-06 12:33:21.336166,False
5b3d91aef,JP-000118,jpl,JP-013,JP-CA-013,jpl-1,6158,America/Los_Angeles,2018-05-29 10:42:05.296211,2018-05-29 15:20:51.260339,2018-05-29 14:50:32.988120,27.331,350.0,40.24,115.0,278,2018-05-29 15:20:51.260339,True
5b308b272,CA-000119,caltech,CA-019,CA-CA-019,caltech-1,7380,America/Los_Angeles,2018-06-11 10:28:58.038719,2018-06-11 14:19:26.998146,2018-06-11 11:22:34.216816,5.896,250.0,7.36,29.4,230,2018-06-11 14:19:26.998146,False
5b54df91e,CA-000120,caltech,CA-034,CA-CA-034,caltech-3,8463,America/Los_Angeles,2018-07-02 08:48:52.001092,2018-07-02 10:09:44.582029,2018-07-02 10:00:24.400408,7.869,320.0,11.88,37.1,80,2018-07-02 10:09:44.582029,False
5b16e71cd,CA-000121,caltech,CA-010,CA-CA-010,caltech-1,4387,America/Los_Angeles,2018-07-24 12:52:10.378551,2018-07-24 18:39:58.195187,2018-07-24 13:34:52.500914,4.697,320.0,4.86,15.2,347,2018-07-24 18:39:58.195187,False
5bdf338b,JP-000123,jpl,JP-012,JP-CA-012,jpl-1,3949,America/Los_Angeles,2018-07-01 10:43:13.574592,2018-07-01 20:36:59.455909,2018-07-01 13:20:17.019967,17.276,350.0,19.52,55.8,593,2018-07-01 20:36:59.455909,True
5b15e3766,JP-000124,jpl,JP-015,JP-CA-015,jpl-1,5558,America/Los_Angeles,2018-06-30 15:51:04.235337,2018-07-01 04:55:18.505301,2018-06-30 16:40:34.055421,5.445,290.0,5.56,19.2,784,2018-07-01 04:55:18.505301,True
5b41853d0,CA-000125,caltech,CA-019,CA-CA-019,caltech-1,6973,America/Los_Angeles,2018-07-19 07:42:45.036488,2018-07-19 13:05:50.894822,2018-07-19 08:50:18.964837,7.432,250.0,9.21,36.8,323,2018-07-19 13:05:50.894822,True
5b4a1c122,CA-000126,caltech,CA-018,CA-CA-018,caltech-1,2611,America/Los_Angeles,2018-07-14 12:28:16.458478,2018-07-15 00:50:25.046944,2018-07-14 15:13:08.608058,18.136,400.0,21.3,53.2,742,2018-07-15 00:50:25.046944,False
5b18963c2,CA-000127,caltech,CA-009,CA-CA-009,caltech-0,1351,America/Los_Angeles,2018-06-15 06:42:53.878852,2018-06-15 12:08:34.023065,2018-06-15 08:26:10.770767,11.361,290.0,13.6,46.9,325,2018-06-15 12:08:34.023065,True
5b5ac847d,JP-000129,jpl,JP-036,JP-CA-036,jpl-3,3312,America/Los_Angeles,2018-05-17 08:44:05.305793,2018-05-17 21:42:28.899301,2018-05-17 09:20:59.136090,4.059,320.0,4.81,15.0,778,2018-05-17 21:42:28.899301,False
5b1fbaec8,CA-000130,caltech,CA-023,CA-CA-023,caltech-2,7063,America/Los_Angeles,2018-07-07 12:14:38.944612,2018-07-07 16:22:11.474621,2018-07-07 12:43:05.141860,3.128,290.0,3.67,12.7,247,2018-07-07 16:22:11.474621,False
5ba58e30,CA-000131,caltech,CA-001,CA-CA-001,caltech-0,2698,America/Los_Angeles,2018-05-15 09:08:33.188957,2018-05-15 10:56:13.965976,2018-05-15 09:58:28.323183,5.491,290.0,6.75,23.3,107,2018-05-15 10:56:13.965976,False
